
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
[980] DAY 2010-10-11 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-10-12 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-10-13 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2010-10-14 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-10-15 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-10-18 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-10-19 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-10-20 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-10-21 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-10-22 : 0.00006016 => (ans,pred) False:False]
[980] DAY 2010-10-25 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-10-26 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-10-27 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-10-28 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-10-29 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-11-01 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-11-02 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-11-03 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-04 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-05 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-11-08 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-09 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-10 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-11 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-11-12 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-11-15 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-16 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-17 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-18 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2010-11-19 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-22 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-23 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-11-24 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-11-29 : 0.00006526 => (ans,pred) False:False]
[980] DAY 2010-11-30 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-01 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-12-02 : 0.00019772 => (ans,pred) False:False]
[980] DAY 2010-12-03 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-06 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2010-12-07 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-12-08 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-12-09 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-10 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-12-13 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-14 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-12-15 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2010-12-16 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-17 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-12-20 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-12-21 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-12-22 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-27 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2010-12-28 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2010-12-29 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2010-12-30 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-03 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-04 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-01-05 : 0.00019772 => (ans,pred) False:False]
[980] DAY 2011-01-06 : 0.00019772 => (ans,pred) False:False]
[980] DAY 2011-01-07 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-01-10 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2011-01-11 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-12 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-13 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-01-14 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2011-01-17 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2011-01-18 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-19 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-20 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-21 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-24 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-01-25 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-26 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2011-01-27 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-28 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-01-31 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-01 : 0.00006526 => (ans,pred) False:False]
[980] DAY 2011-02-02 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-02-03 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2011-02-04 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-07 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-08 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-09 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-02-10 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2011-02-11 : 0.00006526 => (ans,pred) False:False]
[980] DAY 2011-02-14 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-15 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-16 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-02-17 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-18 : 0.00019772 => (ans,pred) False:False]
[980] DAY 2011-02-21 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-22 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-23 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-02-24 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-02-25 : 0.00006526 => (ans,pred) False:False]
[980] DAY 2011-02-28 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-01 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-02 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-03 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-04 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-07 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-03-08 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-03-09 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-10 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-11 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-03-14 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-03-15 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-16 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-17 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-18 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-21 : 0.00006016 => (ans,pred) False:False]
[980] DAY 2011-03-22 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-03-23 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-24 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-25 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-03-28 : 0.00006526 => (ans,pred) False:False]
[980] DAY 2011-03-29 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-03-30 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-03-31 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-01 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-04 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-05 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-06 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-07 : 0.00019772 => (ans,pred) False:False]
[980] DAY 2011-04-08 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-04-11 : 0.00020452 => (ans,pred) False:False]
[980] DAY 2011-04-12 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-13 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-04-14 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-15 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-18 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-04-19 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-04-20 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2011-04-21 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-25 : 0.00019772 => (ans,pred) False:False]
[980] DAY 2011-04-26 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-04-27 : 0.00020245 => (ans,pred) False:False]
[980] DAY 2011-04-28 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2011-04-29 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-02 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-05-03 : 0.00014124 => (ans,pred) False:False]
[980] DAY 2011-05-04 : 0.00002256 => (ans,pred) False:False]
[980] DAY 2011-05-05 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-06 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-09 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-10 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-11 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-12 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-13 : 0.00017317 => (ans,pred) False:False]
[980] DAY 2011-05-16 : 0.00019772 => (ans,pred) False:False]
user 980 : TP0, TN0, FP0, OT346 : Acc(0.0) Recall(0.0) DONE
begin user  981
step: 0  loss: 2.14335012
step: 100  loss: 0.18902117
step: 200  loss: 0.00508268
step: 300  loss: 0.00189965
step: 400  loss: 0.00107574
step: 500  loss: 0.00072092
user 981  trained.  loss: 0.00072092
Testing...
[981] DAY 2010-01-04 : 0.00094230 => (ans,pred) False:False]
[981] DAY 2010-01-05 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-01-06 : 0.00034181 => (ans,pred) False:False]
[981] DAY 2010-01-07 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-01-08 : 0.00088600 => (ans,pred) False:False]
[981] DAY 2010-01-11 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-01-12 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-01-13 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-01-14 : 0.00037230 => (ans,pred) False:False]
[981] DAY 2010-01-15 : 0.00056687 => (ans,pred) False:False]
[981] DAY 2010-01-18 : 0.00056687 => (ans,pred) False:False]
[981] DAY 2010-01-19 : 0.00071268 => (ans,pred) False:False]
[981] DAY 2010-01-20 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-01-21 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-01-22 : 0.00056297 => (ans,pred) False:False]
[981] DAY 2010-01-25 : 0.00061882 => (ans,pred) False:False]
[981] DAY 2010-01-26 : 0.00066105 => (ans,pred) False:False]
[981] DAY 2010-01-27 : 0.00052567 => (ans,pred) False:False]
[981] DAY 2010-01-28 : 0.00056375 => (ans,pred) False:False]
[981] DAY 2010-01-29 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-02-01 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-02-02 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-02-03 : 0.00050731 => (ans,pred) False:False]
[981] DAY 2010-02-04 : 0.00060998 => (ans,pred) False:False]
[981] DAY 2010-02-05 : 0.00043316 => (ans,pred) False:False]
[981] DAY 2010-02-08 : 0.00056881 => (ans,pred) False:False]
[981] DAY 2010-02-09 : 0.00058103 => (ans,pred) False:False]
[981] DAY 2010-02-10 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-02-11 : 0.00052567 => (ans,pred) False:False]
[981] DAY 2010-02-12 : 0.00047187 => (ans,pred) False:False]
[981] DAY 2010-02-15 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-02-16 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-02-17 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-02-18 : 0.00094230 => (ans,pred) False:False]
[981] DAY 2010-02-19 : 0.00055154 => (ans,pred) False:False]
[981] DAY 2010-02-22 : 0.00049402 => (ans,pred) False:False]
[981] DAY 2010-02-23 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-02-24 : 0.00058344 => (ans,pred) False:False]
[981] DAY 2010-02-25 : 0.00056375 => (ans,pred) False:False]
[981] DAY 2010-02-26 : 0.00033681 => (ans,pred) False:False]
[981] DAY 2010-03-01 : 0.00050131 => (ans,pred) False:False]
[981] DAY 2010-03-02 : 0.00052980 => (ans,pred) False:False]
[981] DAY 2010-03-03 : 0.00061756 => (ans,pred) False:False]
[981] DAY 2010-03-04 : 0.00061882 => (ans,pred) False:False]
[981] DAY 2010-03-05 : 0.00037230 => (ans,pred) False:False]
[981] DAY 2010-03-08 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-03-09 : 0.00089608 => (ans,pred) False:False]
[981] DAY 2010-03-10 : 0.00052567 => (ans,pred) False:False]
[981] DAY 2010-03-11 : 0.00058623 => (ans,pred) False:False]
[981] DAY 2010-03-12 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-03-15 : 0.00075873 => (ans,pred) False:False]
[981] DAY 2010-03-16 : 0.00047187 => (ans,pred) False:False]
[981] DAY 2010-03-17 : 0.00090755 => (ans,pred) False:False]
[981] DAY 2010-03-18 : 0.00089608 => (ans,pred) False:False]
[981] DAY 2010-03-19 : 0.00064980 => (ans,pred) False:False]
[981] DAY 2010-03-22 : 0.00058055 => (ans,pred) False:False]
[981] DAY 2010-03-23 : 0.00096905 => (ans,pred) False:False]
[981] DAY 2010-03-24 : 0.00092314 => (ans,pred) False:False]
[981] DAY 2010-03-25 : 0.00058103 => (ans,pred) False:False]
[981] DAY 2010-03-26 : 0.00058343 => (ans,pred) False:False]
[981] DAY 2010-03-29 : 0.00058344 => (ans,pred) False:False]
[981] DAY 2010-03-30 : 0.00094241 => (ans,pred) False:False]
[981] DAY 2010-03-31 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-04-01 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-04-05 : 0.00096905 => (ans,pred) False:False]
[981] DAY 2010-04-06 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-04-07 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-04-08 : 0.00091109 => (ans,pred) False:False]
[981] DAY 2010-04-09 : 0.00060945 => (ans,pred) False:False]
[981] DAY 2010-04-12 : 0.00052567 => (ans,pred) False:False]
[981] DAY 2010-04-13 : 0.00046907 => (ans,pred) False:False]
[981] DAY 2010-04-14 : 0.00046907 => (ans,pred) False:False]
[981] DAY 2010-04-15 : 0.00061756 => (ans,pred) False:False]
[981] DAY 2010-04-16 : 0.00037230 => (ans,pred) False:False]
[981] DAY 2010-04-19 : 0.00048904 => (ans,pred) False:False]
[981] DAY 2010-04-20 : 0.00089805 => (ans,pred) False:False]
[981] DAY 2010-04-21 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-04-22 : 0.00057031 => (ans,pred) False:False]
[981] DAY 2010-04-23 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-04-26 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-04-27 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-04-28 : 0.00058344 => (ans,pred) False:False]
[981] DAY 2010-04-29 : 0.00060945 => (ans,pred) False:False]
[981] DAY 2010-04-30 : 0.00067964 => (ans,pred) False:False]
[981] DAY 2010-05-03 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-05-04 : 0.00057360 => (ans,pred) False:False]
[981] DAY 2010-05-05 : 0.00066105 => (ans,pred) False:False]
[981] DAY 2010-05-06 : 0.00071268 => (ans,pred) False:False]
[981] DAY 2010-05-07 : 0.00055658 => (ans,pred) False:False]
[981] DAY 2010-05-10 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-05-11 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-05-12 : 0.01415864 => (ans,pred) False:False]
[981] DAY 2010-05-13 : 0.01675588 => (ans,pred) False:False]
[981] DAY 2010-05-14 : 0.00058343 => (ans,pred) False:False]
[981] DAY 2010-05-17 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-05-18 : 0.00089608 => (ans,pred) False:False]
[981] DAY 2010-05-19 : 0.01299528 => (ans,pred) False:False]
[981] DAY 2010-05-20 : 0.00064389 => (ans,pred) False:False]
[981] DAY 2010-05-21 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-05-24 : 0.00047431 => (ans,pred) False:False]
[981] DAY 2010-05-25 : 0.00088197 => (ans,pred) False:False]
[981] DAY 2010-05-26 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-05-27 : 0.00042254 => (ans,pred) False:False]
[981] DAY 2010-05-28 : 0.00047187 => (ans,pred) False:False]
[981] DAY 2010-06-01 : 0.00061882 => (ans,pred) False:False]
[981] DAY 2010-06-02 : 0.00096905 => (ans,pred) False:False]
[981] DAY 2010-06-03 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-06-04 : 0.00102609 => (ans,pred) False:False]
[981] DAY 2010-06-07 : 0.00037230 => (ans,pred) False:False]
[981] DAY 2010-06-08 : 0.00094230 => (ans,pred) False:False]
[981] DAY 2010-06-09 : 0.00056297 => (ans,pred) False:False]
[981] DAY 2010-06-10 : 0.00071268 => (ans,pred) False:False]
[981] DAY 2010-06-11 : 0.00052980 => (ans,pred) False:False]
[981] DAY 2010-06-14 : 0.00037230 => (ans,pred) False:False]
[981] DAY 2010-06-15 : 0.00071268 => (ans,pred) False:False]
[981] DAY 2010-06-16 : 0.00061620 => (ans,pred) False:False]
[981] DAY 2010-06-17 : 0.00050187 => (ans,pred) False:False]
[981] DAY 2010-06-18 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-06-21 : 0.00061882 => (ans,pred) False:False]
[981] DAY 2010-06-22 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-06-23 : 0.00037230 => (ans,pred) False:False]
[981] DAY 2010-06-24 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-06-25 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-06-28 : 0.00089608 => (ans,pred) False:False]
[981] DAY 2010-06-29 : 0.00058343 => (ans,pred) False:False]
[981] DAY 2010-06-30 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-07-01 : 0.00058344 => (ans,pred) False:False]
[981] DAY 2010-07-02 : 0.00050133 => (ans,pred) False:False]
[981] DAY 2010-07-06 : 0.00064389 => (ans,pred) False:False]
[981] DAY 2010-07-07 : 0.00066590 => (ans,pred) False:False]
[981] DAY 2010-07-08 : 0.00066105 => (ans,pred) False:False]
[981] DAY 2010-07-09 : 0.00059140 => (ans,pred) False:False]
[981] DAY 2010-07-12 : 0.00089507 => (ans,pred) False:False]
[981] DAY 2010-07-13 : 0.00056898 => (ans,pred) False:False]
[981] DAY 2010-07-14 : 0.01387099 => (ans,pred) False:False]
[981] DAY 2010-07-15 : 0.00053033 => (ans,pred) False:False]
[981] DAY 2010-07-16 : 0.00095399 => (ans,pred) False:False]
[981] DAY 2010-07-19 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-07-20 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-07-21 : 0.01508565 => (ans,pred) False:False]
[981] DAY 2010-07-22 : 0.00096905 => (ans,pred) False:False]
[981] DAY 2010-07-23 : 0.00068742 => (ans,pred) False:False]
[981] DAY 2010-07-26 : 0.00057031 => (ans,pred) False:False]
[981] DAY 2010-07-27 : 0.01387099 => (ans,pred) False:False]
[981] DAY 2010-07-28 : 0.00088600 => (ans,pred) False:False]
[981] DAY 2010-07-29 : 0.00096905 => (ans,pred) False:False]
[981] DAY 2010-07-30 : 0.00053231 => (ans,pred) False:False]
[981] DAY 2010-08-02 : 0.00064389 => (ans,pred) False:False]
[981] DAY 2010-08-03 : 0.00067220 => (ans,pred) False:False]
[981] DAY 2010-08-04 : 0.00046836 => (ans,pred) False:False]
[981] DAY 2010-08-05 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-08-06 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-08-09 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-08-10 : 0.00060428 => (ans,pred) False:False]
[981] DAY 2010-08-11 : 0.00059630 => (ans,pred) False:False]
[981] DAY 2010-08-12 : 0.00037253 => (ans,pred) False:False]
[981] DAY 2010-08-13 : 0.00089805 => (ans,pred) False:False]
[981] DAY 2010-08-16 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-08-17 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-08-18 : 0.00052567 => (ans,pred) False:False]
[981] DAY 2010-08-19 : 0.00061882 => (ans,pred) False:False]
[981] DAY 2010-08-20 : 0.00047187 => (ans,pred) False:False]
[981] DAY 2010-08-23 : 0.00076998 => (ans,pred) False:False]
[981] DAY 2010-08-24 : 0.00044019 => (ans,pred) False:False]
[981] DAY 2010-08-25 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-08-26 : 0.00065056 => (ans,pred) False:False]
[981] DAY 2010-08-27 : 0.00090755 => (ans,pred) False:False]
[981] DAY 2010-08-30 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-08-31 : 0.00104114 => (ans,pred) False:False]
[981] DAY 2010-09-01 : 0.00632225 => (ans,pred) False:False]
[981] DAY 2010-09-02 : 0.00061882 => (ans,pred) False:False]
[981] DAY 2010-09-03 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-09-07 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-09-08 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-09-09 : 0.00096166 => (ans,pred) False:False]
[981] DAY 2010-09-10 : 0.00062623 => (ans,pred) False:False]
[981] DAY 2010-09-13 : 0.00090861 => (ans,pred) False:False]
[981] DAY 2010-09-14 : 0.00112511 => (ans,pred) False:False]
[981] DAY 2010-09-15 : 0.00094241 => (ans,pred) False:False]
[981] DAY 2010-09-16 : 0.00052767 => (ans,pred) False:False]
[981] DAY 2010-09-17 : 0.00069961 => (ans,pred) False:False]
[981] DAY 2010-09-20 : 0.00095399 => (ans,pred) False:False]
[981] DAY 2010-09-21 : 0.00057031 => (ans,pred) False:False]
[981] DAY 2010-09-22 : 0.00094230 => (ans,pred) False:False]
[981] DAY 2010-09-23 : 0.00062623 => (ans,pred) False:False]
